,Area of Impact,Case Number,Event Number,Standard of Evenidence,Vehicle 1,Vehicle 2
3,Non-Collision,62453,4,Rollover/Overturn,1,9999
4,12 Clock Point,62453,5,Tree (Standing Only),1,9999
0,Non-Harmful Event,62453,1,Cross Centerline,1,9999
1,Non-Harmful Event,62453,2,Cross Centerline,1,9999
2,Non-Harmful Event,62453,3,Ran Off Roadway - Right,1,9999
3,Non-Collision,62453,4,Rollover/Overturn,1,9999
4,12 Clock Point,62453,5,Tree (Standing Only),1,9999
0,Unknown,62454,1,Pedestrian,1,9999
0,12 Clock Point,62456,1,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,62457,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62457,2,Guardrail End,1,9999
2,Non-Collision,62457,3,Rollover/Overturn,1,9999
3,Set-In-Motion (Not a Clock Value),62457,4,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,62459,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62459,2,Rollover/Overturn,3,9999
0,12 Clock Point,62461,1,Pedestrian,1,9999
0,Non-Collision,62462,1,Rollover/Overturn,1,9999
1,Non-Harmful Event,62462,2,Cross Centerline,1,5555
2,Not Reported,62462,3,Motor Vehicle In-Transport ,1,2
3,Set-In-Motion (Not a Clock Value),62462,4,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62465,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62465,2,Cross Centerline,1,5555
2,Not Reported,62465,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,62466,1,Pedestrian,1,9999
0,12 Clock Point,62469,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62473,1,Pedestrian,1,9999
0,Non-Harmful Event,62475,1,Ran Off Roadway - Right,1,5555
1,Right-Front Side,62475,2,Curb,1,9999
2,12 Clock Point,62475,3,Parked Motor Vehicle ,1,2
0,12 Clock Point,62476,1,Pedestrian,1,9999
1,12 Clock Point,62476,2,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,62477,1,Pedestrian,1,9999
0,Non-Harmful Event,62478,1,Ran Off Roadway - Right,1,9999
1,Non-Collision,62478,2,Rollover/Overturn,1,9999
2,Non-Harmful Event,62478,3,Re-entering Roadway,1,9999
3,12 Clock Point,62478,4,Motor Vehicle In-Transport ,2,1
0,Non-Harmful Event,62479,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62479,2,Traffic Sign Support ,1,9999
2,Not Reported,62479,3,Boulder,1,9999
3,Non-Collision,62479,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,62479,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62479,2,Traffic Sign Support ,1,9999
2,Not Reported,62479,3,Boulder,1,9999
3,Non-Collision,62479,4,Rollover/Overturn,1,9999
0,12 Clock Point,62482,1,Motor Vehicle In-Transport ,1,2
0,Not Reported,62484,1,Pedalcyclist,1,9999
0,3 Clock Point,62486,1,Pedalcyclist,1,9999
0,Non-Harmful Event,62488,1,Cross Centerline,1,5555
1,Non-Harmful Event,62488,2,Cross Centerline,1,5555
2,Non-Harmful Event,62488,3,Ran Off Roadway - Right,1,5555
3,Not Reported,62488,4,Embankment,1,9999
4,Not Reported,62488,5,Traffic Sign Support ,1,9999
0,12 Clock Point,62490,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62490,2,Ran Off Roadway - Right,1,5555
2,12 Clock Point,62490,3,Fence,1,9999
3,12 Clock Point,62490,4,Utility Pole/Light Support,1,9999
0,12 Clock Point,62497,1,Pedestrian,1,9999
0,12 Clock Point,62498,1,Pedestrian,1,9999
0,12 Clock Point,62498,1,Pedestrian,1,9999
0,Non-Harmful Event,62499,1,Ran Off Roadway - Left,1,9999
1,Undercarriage,62499,2,Curb,1,9999
2,Not Reported,62499,3,Utility Pole/Light Support,1,9999
3,Not Reported,62499,4,Tree (Standing Only),1,9999
0,Non-Harmful Event,62499,1,Ran Off Roadway - Left,1,9999
1,Undercarriage,62499,2,Curb,1,9999
2,Not Reported,62499,3,Utility Pole/Light Support,1,9999
3,Not Reported,62499,4,Tree (Standing Only),1,9999
0,12 Clock Point,62501,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62504,1,Pedestrian,1,9999
1,Non-Harmful Event,62504,2,Ran Off Roadway - Right,1,5555
2,12 Clock Point,62504,3,Guardrail Face,1,9999
0,12 Clock Point,62505,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62506,1,Pedestrian,1,9999
0,Left-Front Side,62509,1,Pedestrian,1,9999
1,Undercarriage,62509,2,Pedestrian,2,9999
0,Undercarriage,62511,1,Pedestrian,1,9999
0,Non-Harmful Event,62513,1,Ran Off Roadway - Right,1,5555
1,Right,62513,2,Concrete Traffic Barrier,1,9999
2,Non-Harmful Event,62513,3,Re-entering Roadway,1,5555
3,Non-Harmful Event,62513,4,Ran Off Roadway - Left,1,5555
4,Left,62513,5,Concrete Traffic Barrier,1,9999
5,Non-Harmful Event,62513,6,Vehicle Went Airborne,1,5555
6,Not Reported,62513,7,Bridge Pier or Support,1,9999
7,Non-Harmful Event,62513,8,Re-entering Roadway,1,5555
8,Non-Collision,62513,9,Rollover/Overturn,1,9999
0,Right,62514,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62514,2,Fell/Jumped from Vehicle,1,9999
2,Non-Collision,62514,3,Rollover/Overturn,1,9999
0,12 Clock Point,62519,1,Pedestrian,1,9999
1,Not Reported,62519,2,Pedestrian,2,9999
2,Not Reported,62519,3,Pedestrian,3,9999
0,Not Reported,62524,1,Pedestrian,1,9999
0,Non-Harmful Event,62525,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62525,2,Vehicle Went Airborne,1,5555
2,Undercarriage,62525,3,Ground,1,9999
3,Not Reported,62525,4,Fence,1,9999
4,Non-Collision,62525,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,62526,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62526,2,Re-entering Roadway,1,5555
2,Non-Collision,62526,3,Rollover/Overturn,1,9999
3,Other Objects Set-In-Motion,62526,4,Impact Attenuator/Crash Cushion,1,9999
4,Other Objects Set-In-Motion,62526,5,Traffic Sign Support ,1,9999
0,12 Clock Point,62528,1,Pedestrian,1,9999
0,Non-Harmful Event,62529,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62529,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62529,3,Ran Off Roadway - Right,1,5555
3,Non-Collision,62529,4,Rollover/Overturn,1,9999
0,12 Clock Point,62530,1,Live Animal,1,9999
0,Non-Collision,62531,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,62531,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Collision,62531,1,Rollover/Overturn,1,9999
1,Other Objects Set-In-Motion,62531,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,Non-Harmful Event,62532,1,Cross Centerline,1,5555
1,12 Clock Point,62532,2,Motor Vehicle In-Transport ,1,2
2,6 Clock Point,62532,3,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,62532,1,Cross Centerline,1,5555
1,12 Clock Point,62532,2,Motor Vehicle In-Transport ,1,2
2,6 Clock Point,62532,3,Motor Vehicle In-Transport ,1,3
0,Non-Harmful Event,62532,1,Cross Centerline,1,5555
1,12 Clock Point,62532,2,Motor Vehicle In-Transport ,1,2
2,6 Clock Point,62532,3,Motor Vehicle In-Transport ,1,3
0,12 Clock Point,62534,1,Pedestrian,1,9999
0,12 Clock Point,62537,1,Pedestrian,1,9999
0,12 Clock Point,62537,1,Pedestrian,1,9999
0,Right-Front Side,62541,1,Motor Vehicle In-Transport ,1,2
1,2 Clock Point,62541,2,Motor Vehicle In-Transport ,1,2
2,3 Clock Point,62541,3,Motor Vehicle In-Transport ,1,2
3,Other Objects Set-In-Motion,62541,4,Traffic Sign Support ,1,9999
4,Non-Harmful Event,62541,5,Ran Off Roadway - Left,1,5555
5,Non-Harmful Event,62541,6,Cargo/Equipment Loss or Shift (non-harmful) ,1,5555
6,Non-Harmful Event,62541,7,Ran Off Roadway - Left,1,5555
7,Cargo/Vehicle Parts Set-In-Motion,62541,8,Curb,1,9999
0,Non-Collision,62543,1,Rollover/Overturn,1,9999
1,Non-Collision,62543,2,Fell/Jumped from Vehicle,1,9999
2,11 Clock Point,62543,3,Motor Vehicle In-Transport ,2,1
3,12 Clock Point,62543,4,Motor Vehicle In-Transport ,3,1
0,12 Clock Point,62545,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62545,2,Ran Off Roadway - Right,1,5555
2,Not Reported,62545,3,Traffic Signal Support,1,9999
0,Non-Harmful Event,62546,1,Ran Off Roadway - Right,1,5555
1,Non-Harmful Event,62546,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62546,3,Ran Off Roadway - Right,1,5555
3,Non-Harmful Event,62546,4,Vehicle Went Airborne,1,5555
4,Not Reported,62546,5,Culvert,1,9999
5,Non-Collision,62546,6,Rollover/Overturn,1,9999
0,Non-Harmful Event,62552,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62552,2,Pedestrian,1,9999
2,12 Clock Point,62552,3,Traffic Signal Support,1,9999
3,12 Clock Point,62552,4,Utility Pole/Light Support,1,9999
4,12 Clock Point,62552,5,Fence,1,9999
0,Not Reported,62554,1,Pedestrian,1,9999
0,Non-Harmful Event,62556,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62556,2,Tree (Standing Only),1,9999
0,12 Clock Point,62557,1,Pedestrian,1,9999
0,12 Clock Point,62559,1,Pedestrian,1,9999
1,Non-Collision,62559,2,Rollover/Overturn,1,9999
2,Other Objects Set-In-Motion,62559,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,62563,1,Motor Vehicle In-Transport ,2,1
0,12 Clock Point,62567,1,Motor Vehicle In-Transport ,1,2
0,Left,62570,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62570,2,Ran Off Roadway - Left,1,5555
2,Not Reported,62570,3,Concrete Traffic Barrier,1,9999
0,12 Clock Point,62573,1,Motor Vehicle In-Transport ,1,2
1,1 Clock Point,62573,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62573,3,Ran Off Roadway - Right,1,5555
3,Undercarriage,62573,4,Curb,1,9999
4,1 Clock Point,62573,5,Traffic Sign Support ,1,9999
5,Left-Back Side,62573,6,Bridge Overhead Structure,1,9999
6,Non-Harmful Event,62573,7,Ran Off Roadway - Left,1,5555
7,Undercarriage,62573,8,Curb,1,9999
8,12 Clock Point,62573,9,Embankment,1,9999
0,Non-Harmful Event,62577,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62577,2,Parked Motor Vehicle ,1,2
2,Not Reported,62577,3,Parked Motor Vehicle ,1,3
0,Non-Harmful Event,62581,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62581,2,Traffic Sign Support ,1,9999
2,Not Reported,62581,3,Other Fixed Object,1,9999
3,Non-Collision,62581,4,Rollover/Overturn,1,9999
0,Non-Harmful Event,62581,1,Ran Off Roadway - Left,1,5555
1,12 Clock Point,62581,2,Traffic Sign Support ,1,9999
2,Not Reported,62581,3,Other Fixed Object,1,9999
3,Non-Collision,62581,4,Rollover/Overturn,1,9999
0,12 Clock Point,62582,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62588,1,Pedestrian,1,9999
0,12 Clock Point,62588,1,Pedestrian,1,9999
0,12 Clock Point,62588,1,Pedestrian,1,9999
0,12 Clock Point,62593,1,Pedestrian,1,9999
0,Right,62594,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62594,2,Rollover/Overturn,1,9999
2,Non-Collision,62594,3,Fell/Jumped from Vehicle,1,9999
3,Other Objects Set-In-Motion,62594,4,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,Right,62594,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62594,2,Rollover/Overturn,1,9999
2,Non-Collision,62594,3,Fell/Jumped from Vehicle,1,9999
3,Other Objects Set-In-Motion,62594,4,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,3
0,12 Clock Point,62595,1,Pedestrian,1,9999
0,Non-Harmful Event,62596,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62596,2,Traffic Sign Support ,1,9999
2,Not Reported,62596,3,Utility Pole/Light Support,1,9999
3,Non-Collision,62596,4,Rollover/Overturn,1,9999
0,12 Clock Point,62600,1,Pedestrian,1,9999
1,12 Clock Point,62600,2,Pedestrian,2,9999
0,Non-Harmful Event,62601,1,Ran Off Roadway - Left,2,5555
1,Not Reported,62601,2,Curb,2,9999
2,Non-Harmful Event,62601,3,Cross Median,2,5555
3,12 Clock Point,62601,4,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62602,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62602,2,Curb,1,9999
2,Non-Collision,62602,3,Rollover/Overturn,1,9999
3,Not Reported,62602,4,Tree (Standing Only),1,9999
0,Non-Collision,62604,1,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)",1,9999
1,Non-Harmful Event,62604,2,Vehicle Went Airborne,1,5555
2,Undercarriage,62604,3,Ground,1,9999
3,Non-Harmful Event,62604,4,Ran Off Roadway - Right,1,5555
4,Right,62604,5,Parked Motor Vehicle ,1,2
5,12 Clock Point,62604,6,Parked Motor Vehicle ,1,3
6,Other Objects Set-In-Motion,62604,7,Utility Pole/Light Support,1,9999
7,12 Clock Point,62604,8,Utility Pole/Light Support,1,9999
0,Non-Collision,62604,1,"Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.)",1,9999
1,Non-Harmful Event,62604,2,Vehicle Went Airborne,1,5555
2,Undercarriage,62604,3,Ground,1,9999
3,Non-Harmful Event,62604,4,Ran Off Roadway - Right,1,5555
4,Right,62604,5,Parked Motor Vehicle ,1,2
5,12 Clock Point,62604,6,Parked Motor Vehicle ,1,3
6,Other Objects Set-In-Motion,62604,7,Utility Pole/Light Support,1,9999
7,12 Clock Point,62604,8,Utility Pole/Light Support,1,9999
0,12 Clock Point,62607,1,Motor Vehicle In-Transport ,1,2
1,Other Objects Set-In-Motion,62607,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,62607,1,Motor Vehicle In-Transport ,1,2
1,Other Objects Set-In-Motion,62607,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",1,2
0,12 Clock Point,62609,1,Pedestrian,1,9999
0,12 Clock Point,62609,1,Pedestrian,1,9999
0,12 Clock Point,62610,1,Motor Vehicle In-Transport ,1,2
0,Non-Harmful Event,62613,1,Ran Off Roadway - Left,1,5555
1,Non-Collision,62613,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,62613,1,Ran Off Roadway - Left,1,5555
1,Non-Collision,62613,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,62613,1,Ran Off Roadway - Left,1,5555
1,Non-Collision,62613,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,62615,1,Ran Off Roadway - Right,1,5555
1,Right,62615,2,Boulder,1,9999
2,Right,62615,3,Boulder,1,9999
3,Non-Collision,62615,4,Rollover/Overturn,1,9999
0,Non-Collision,62617,1,Rollover/Overturn,2,9999
1,Not Reported,62617,2,Motor Vehicle In-Transport ,2,1
0,Non-Collision,62617,1,Rollover/Overturn,2,9999
1,Not Reported,62617,2,Motor Vehicle In-Transport ,2,1
0,Non-Collision,62617,1,Rollover/Overturn,2,9999
1,Not Reported,62617,2,Motor Vehicle In-Transport ,2,1
0,10 Clock Point,62621,1,Pedestrian,1,9999
1,Undercarriage,62621,2,Pedestrian,2,9999
0,Undercarriage,62622,1,Pedestrian,1,9999
0,12 Clock Point,62623,1,Pedestrian,1,9999
0,Non-Harmful Event,62625,1,Cross Centerline,1,5555
1,Non-Harmful Event,62625,2,Cross Centerline,1,5555
2,Non-Harmful Event,62625,3,Ran Off Roadway - Right,1,5555
3,12 Clock Point,62625,4,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,62632,1,Ran Off Roadway - Left,1,5555
1,Not Reported,62632,2,Shrubbery,1,9999
2,Non-Collision,62632,3,Rollover/Overturn,1,9999
0,12 Clock Point,62635,1,Motor Vehicle In-Transport ,2,1
0,Non-Collision,62636,1,Rollover/Overturn,2,9999
1,Not Reported,62636,2,Motor Vehicle In-Transport ,2,1
2,Other Objects Set-In-Motion,62636,3,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,3
0,Non-Harmful Event,62640,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62640,2,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,62642,1,End Departure,1,9999
1,12 Clock Point,62642,2,Wall,1,9999
0,12 Clock Point,62644,1,Motor Vehicle In-Transport ,2,1
1,Other Objects Set-In-Motion,62644,2,"Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons or Objects Set-in-Motion from/by Another Motor Vehicle In Transport",2,1
0,Non-Harmful Event,62649,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62649,2,Parked Motor Vehicle ,1,2
0,Non-Harmful Event,62651,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62651,2,Other Fixed Object,1,9999
2,Other Objects Set-In-Motion,62651,3,Other Fixed Object,1,9999
0,Non-Harmful Event,62651,1,Ran Off Roadway - Right,1,5555
1,12 Clock Point,62651,2,Other Fixed Object,1,9999
2,Other Objects Set-In-Motion,62651,3,Other Fixed Object,1,9999
0,12 Clock Point,62652,1,Motor Vehicle In-Transport ,1,2
1,Not Reported,62652,2,Motor Vehicle In-Transport ,2,3
0,12 Clock Point,62653,1,Pedalcyclist,1,9999
0,Non-Harmful Event,62656,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,62656,2,Concrete Traffic Barrier,1,9999
2,Non-Collision,62656,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,62656,4,Re-entering Roadway,1,5555
4,3 Clock Point,62656,5,Motor Vehicle In-Transport ,1,2
5,12 Clock Point,62656,6,Motor Vehicle In-Transport ,3,1
0,Non-Harmful Event,62656,1,Ran Off Roadway - Right,1,5555
1,1 Clock Point,62656,2,Concrete Traffic Barrier,1,9999
2,Non-Collision,62656,3,Rollover/Overturn,1,9999
3,Non-Harmful Event,62656,4,Re-entering Roadway,1,5555
4,3 Clock Point,62656,5,Motor Vehicle In-Transport ,1,2
5,12 Clock Point,62656,6,Motor Vehicle In-Transport ,3,1
0,12 Clock Point,62658,1,Pedestrian,1,9999
0,12 Clock Point,62660,1,Motor Vehicle In-Transport ,1,2
0,12 Clock Point,62660,1,Motor Vehicle In-Transport ,1,2
0,Left-Front Side,62665,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62665,2,Ran Off Roadway - Right,2,5555
2,12 Clock Point,62665,3,Parked Motor Vehicle ,2,3
0,12 Clock Point,62669,1,Pedestrian,1,9999
0,Non-Harmful Event,62672,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62672,2,Curb,1,9999
2,Not Reported,62672,3,Curb,1,9999
3,Not Reported,62672,4,Curb,1,9999
4,Not Reported,62672,5,Curb,1,9999
5,Not Reported,62672,6,Curb,1,9999
6,Non-Collision,62672,7,Rollover/Overturn,1,9999
7,Not Reported,62672,8,"Other Post, Other Pole or Other Supports",1,9999
8,Not Reported,62672,9,Tree (Standing Only),1,9999
9,Not Reported,62672,10,"Other Post, Other Pole or Other Supports",1,9999
10,Not Reported,62672,11,"Other Post, Other Pole or Other Supports",1,9999
11,Not Reported,62672,12,"Other Post, Other Pole or Other Supports",1,9999
12,Not Reported,62672,13,Tree (Standing Only),1,9999
13,Not Reported,62672,14,"Other Post, Other Pole or Other Supports",1,9999
14,Not Reported,62672,15,"Other Post, Other Pole or Other Supports",1,9999
15,Not Reported,62672,16,"Other Post, Other Pole or Other Supports",1,9999
16,Not Reported,62672,17,"Other Post, Other Pole or Other Supports",1,9999
0,Non-Harmful Event,62674,1,Ran Off Roadway - Right,2,5555
1,1 Clock Point,62674,2,Guardrail Face,2,9999
2,Non-Harmful Event,62674,3,Re-entering Roadway,2,5555
3,Non-Harmful Event,62674,4,Ran Off Roadway - Left,2,5555
4,Non-Harmful Event,62674,5,Cross Median,2,5555
5,12 Clock Point,62674,6,Motor Vehicle In-Transport ,2,1
6,Non-Collision,62674,7,Rollover/Overturn,2,9999
0,12 Clock Point,62677,1,Pedestrian,1,9999
0,12 Clock Point,62681,1,Non-Motorist on Personal Conveyance,1,9999
0,Non-Harmful Event,62684,1,Ran Off Roadway - Left,1,5555
1,Non-Harmful Event,62684,2,Re-entering Roadway,1,5555
2,Non-Harmful Event,62684,3,Ran Off Roadway - Right,1,5555
3,Left,62684,4,Curb,1,9999
4,Non-Collision,62684,5,Rollover/Overturn,1,9999
0,Non-Harmful Event,62686,1,Cross Centerline,1,5555
1,12 Clock Point,62686,2,Motor Vehicle In-Transport ,1,2
0,Not Reported,62688,1,Pedestrian,1,9999
0,Non-Harmful Event,62689,1,Ran Off Roadway - Right,1,5555
1,Not Reported,62689,2,Utility Pole/Light Support,1,9999
2,Non-Collision,62689,3,Rollover/Overturn,1,9999
0,Non-Harmful Event,62690,1,"Equipment Failure (blown tire, brake failure, etc)",1,5555
1,Non-Collision,62690,2,Rollover/Overturn,1,9999
0,Non-Harmful Event,62690,1,"Equipment Failure (blown tire, brake failure, etc)",1,5555
1,Non-Collision,62690,2,Rollover/Overturn,1,9999
0,12 Clock Point,62694,1,Motor Vehicle In-Transport ,1,2
1,Non-Collision,62694,2,Rollover/Overturn,1,9999
2,Non-Harmful Event,62694,3,Ran Off Roadway - Left,1,5555
0,Non-Harmful Event,62695,1,"Equipment Failure (blown tire, brake failure, etc)",2,5555
1,12 Clock Point,62695,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62695,3,Ran Off Roadway - Right,2,5555
3,Right-Front Side,62695,4,Concrete Traffic Barrier,2,9999
4,Non-Harmful Event,62695,5,Ran Off Roadway - Right,1,5555
5,Left-Back Side,62695,6,Concrete Traffic Barrier,1,9999
0,Non-Harmful Event,62695,1,"Equipment Failure (blown tire, brake failure, etc)",2,5555
1,12 Clock Point,62695,2,Motor Vehicle In-Transport ,1,2
2,Non-Harmful Event,62695,3,Ran Off Roadway - Right,2,5555
3,Right-Front Side,62695,4,Concrete Traffic Barrier,2,9999
4,Non-Harmful Event,62695,5,Ran Off Roadway - Right,1,5555
5,Left-Back Side,62695,6,Concrete Traffic Barrier,1,9999
0,12 Clock Point,62697,1,Pedestrian,1,9999
0,12 Clock Point,62703,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62703,2,Ran off Roadway - Direction Unknown,1,9999
2,6 Clock Point,62703,3,Parked Motor Vehicle ,1,3
0,12 Clock Point,62703,1,Motor Vehicle In-Transport ,2,1
1,Non-Harmful Event,62703,2,Ran off Roadway - Direction Unknown,1,9999
2,6 Clock Point,62703,3,Parked Motor Vehicle ,1,3
0,12 Clock Point,62706,1,Motor Vehicle In-Transport ,1,2
1,Non-Harmful Event,62706,2,Ran Off Roadway - Left,2,5555
